fn,anon_exec,authed_exec,svc_exec,is_trigger,mutates,gated_heur,bucket
_orch1255_place_has_verified_venue,1,1,1,0,0,0,C_RO_UNGATED
accept_friend_request_atomic,1,1,1,0,1,1,B_MUT_GATED
accept_invite_and_transfer_brand_ownership,1,1,1,0,1,0,A_MUT_UNGATED
accept_pair_request_atomic,1,1,1,0,1,1,B_MUT_GATED
accept_scanner_invitation,1,1,1,0,1,0,A_MUT_UNGATED
accept_session_with_prefs,1,1,1,0,1,1,B_MUT_GATED
activate_invited_admin,1,1,1,0,1,1,B_MUT_GATED
add_buyer_to_event_chat,1,1,1,0,1,0,A_MUT_UNGATED
add_friend_to_session,1,1,1,0,1,1,B_MUT_GATED
admin_add_venue_claim_feedback,0,1,1,0,1,1,NOT_ANON
admin_analytics_engagement,1,1,1,0,0,1,D_RO_GATED
admin_analytics_funnel,1,1,1,0,0,1,D_RO_GATED
admin_analytics_geo,1,1,1,0,0,1,D_RO_GATED
admin_analytics_growth,1,1,1,0,0,1,D_RO_GATED
admin_analytics_retention,1,1,1,0,0,1,D_RO_GATED
admin_annotate_dispute,0,1,1,0,1,1,NOT_ANON
admin_apply_score_override,0,1,1,0,1,1,NOT_ANON
admin_audit_probe,0,1,1,0,0,1,NOT_ANON
admin_beta_leads_list,0,1,1,0,0,0,NOT_ANON
admin_bulk_deactivate_places,1,1,1,0,1,1,B_MUT_GATED
admin_cancel_offering,0,1,1,0,1,1,NOT_ANON
admin_card_generation_active,1,1,1,0,0,1,D_RO_GATED
admin_card_generation_status,1,1,1,0,0,1,D_RO_GATED
admin_careers_list_postings,0,1,1,0,0,1,NOT_ANON
admin_careers_set_posting_status,0,1,1,0,1,1,NOT_ANON
admin_careers_upsert_posting,0,1,1,0,1,1,NOT_ANON
admin_city_picker_data,1,1,1,0,0,1,D_RO_GATED
admin_city_pipeline_status,1,1,1,0,0,0,C_RO_UNGATED
admin_city_place_stats,1,1,1,0,0,0,C_RO_UNGATED
admin_clear_brand_take_rate_override,1,1,1,0,1,1,B_MUT_GATED
admin_clear_demo_data,1,1,1,0,1,1,B_MUT_GATED
admin_clear_expired_caches,1,1,1,0,1,1,B_MUT_GATED
admin_deactivate_place,1,1,1,0,1,1,B_MUT_GATED
admin_delete_experience_stop,0,1,1,0,1,1,NOT_ANON
admin_edit_place,1,1,1,0,1,1,B_MUT_GATED
admin_explorer_app_leads_list,0,1,1,0,0,0,NOT_ANON
admin_get_api_health,1,1,1,0,0,1,D_RO_GATED
admin_get_api_health_incidents,1,1,1,0,0,1,D_RO_GATED
admin_get_brand_stripe_status,0,1,1,0,0,1,NOT_ANON
admin_get_claim_review_bundle,0,1,1,0,0,1,NOT_ANON
admin_get_dispute,0,1,1,0,0,1,NOT_ANON
admin_get_feature_flags,1,1,1,0,0,1,D_RO_GATED
admin_get_offering,0,1,1,0,0,1,NOT_ANON
admin_get_order,0,1,1,0,0,1,NOT_ANON
admin_get_override_history,1,1,1,0,0,1,D_RO_GATED
admin_get_person,0,1,1,0,0,1,NOT_ANON
